04-29 02:52:08.109   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 57, H1 259548144.000000, H1_norm 24252.173828, H2_norm 0.000000 H2_norm 0.000000, V 230761792.000000, V_norm 21470.730469, HV 245154976.000000, HV_norm 22861.453125, LensPosition 221
04-29 02:52:08.349   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 59, H1 243770912.000000, H1_norm 22826.009766, H2_norm 0.000000 H2_norm 0.000000, V 222332992.000000, V_norm 20730.302734, HV 233051952.000000, HV_norm 21778.156250, LensPosition 217
04-29 02:52:08.485   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 60, H1 237219712.000000, H1_norm 22172.341797, H2_norm 0.000000 H2_norm 0.000000, V 218861920.000000, V_norm 20366.396484, HV 228040816.000000, HV_norm 21269.369141, LensPosition 215
04-29 02:52:08.606   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 61, H1 239575136.000000, H1_norm 22094.166016, H2_norm 0.000000 H2_norm 0.000000, V 221122208.000000, V_norm 20307.035156, HV 230348672.000000, HV_norm 21200.601562, LensPosition 213
04-29 02:52:08.741   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 62, H1 235647280.000000, H1_norm 21785.750000, H2_norm 0.000000 H2_norm 0.000000, V 218809168.000000, V_norm 20146.234375, HV 227228224.000000, HV_norm 20965.992188, LensPosition 211
04-29 02:52:08.855   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 63, H1 231063392.000000, H1_norm 21547.304688, H2_norm 0.000000 H2_norm 0.000000, V 215720512.000000, V_norm 20029.748047, HV 223391952.000000, HV_norm 20788.527344, LensPosition 209
04-29 02:52:08.983   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 64, H1 228044224.000000, H1_norm 21293.525391, H2_norm 0.000000 H2_norm 0.000000, V 213790384.000000, V_norm 19880.638672, HV 220917312.000000, HV_norm 20587.082031, LensPosition 207
04-29 02:52:09.106   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 65, H1 224631728.000000, H1_norm 21013.007812, H2_norm 0.000000 H2_norm 0.000000, V 212012128.000000, V_norm 19745.833984, HV 218321920.000000, HV_norm 20379.421875, LensPosition 205
04-29 02:52:09.246   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 66, H1 223072816.000000, H1_norm 20833.179688, H2_norm 0.000000 H2_norm 0.000000, V 210959824.000000, V_norm 19611.960938, HV 217016320.000000, HV_norm 20222.570312, LensPosition 203
04-29 02:52:09.362   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 67, H1 219035696.000000, H1_norm 20509.984375, H2_norm 0.000000 H2_norm 0.000000, V 208365648.000000, V_norm 19421.904297, HV 213700672.000000, HV_norm 19965.945312, LensPosition 201
04-29 02:52:09.484   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 68, H1 218085280.000000, H1_norm 20371.187500, H2_norm 0.000000 H2_norm 0.000000, V 208084640.000000, V_norm 19359.333984, HV 213084960.000000, HV_norm 19865.261719, LensPosition 199
04-29 02:52:09.614   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 69, H1 218212864.000000, H1_norm 20131.332031, H2_norm 0.000000 H2_norm 0.000000, V 208353776.000000, V_norm 19145.654297, HV 213283328.000000, HV_norm 19638.492188, LensPosition 197
04-29 02:52:09.750   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 70, H1 213520592.000000, H1_norm 19888.775391, H2_norm 0.000000 H2_norm 0.000000, V 205232704.000000, V_norm 19030.281250, HV 209376640.000000, HV_norm 19459.527344, LensPosition 195
04-29 02:52:09.889   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 71, H1 209836832.000000, H1_norm 19609.593750, H2_norm 0.000000 H2_norm 0.000000, V 202789440.000000, V_norm 18863.330078, HV 206313136.000000, HV_norm 19236.460938, LensPosition 193
04-29 02:52:09.997   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 72, H1 208928448.000000, H1_norm 19474.136719, H2_norm 0.000000 H2_norm 0.000000, V 202121056.000000, V_norm 18759.982422, HV 205524752.000000, HV_norm 19117.058594, LensPosition 191
04-29 02:52:10.120   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 73, H1 205891520.000000, H1_norm 19255.732422, H2_norm 0.000000 H2_norm 0.000000, V 201456112.000000, V_norm 18756.318359, HV 203673824.000000, HV_norm 19006.025391, LensPosition 189
04-29 02:52:10.263   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 74, H1 204182256.000000, H1_norm 19090.341797, H2_norm 0.000000 H2_norm 0.000000, V 0.000000, V_norm 0.000000, HV 201681120.000000, HV_norm 18815.755859, LensPosition 187
04-29 02:52:10.369   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 75, H1 202743008.000000, H1_norm 18944.169922, H2_norm 0.000000 H2_norm 0.000000, V 197259568.000000, V_norm 18349.966797, HV 200001280.000000, HV_norm 18647.068359, LensPosition 185
04-29 02:52:10.499   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 76, H1 201194144.000000, H1_norm 18726.289062, H2_norm 0.000000 H2_norm 0.000000, V 197589584.000000, V_norm 18312.812500, HV 199391872.000000, HV_norm 18519.550781, LensPosition 183
04-29 02:52:10.622   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 77, H1 198615776.000000, H1_norm 18511.720703, H2_norm 0.000000 H2_norm 0.000000, V 196555024.000000, V_norm 18230.203125, HV 197585408.000000, HV_norm 18370.960938, LensPosition 181
04-29 02:52:10.762   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 78, H1 196724112.000000, H1_norm 18353.105469, H2_norm 0.000000 H2_norm 0.000000, V 194135856.000000, V_norm 18035.294922, HV 195429984.000000, HV_norm 18194.199219, LensPosition 179
04-29 02:52:10.887   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 79, H1 194395376.000000, H1_norm 18096.810547, H2_norm 0.000000 H2_norm 0.000000, V 193792864.000000, V_norm 17962.765625, HV 194094112.000000, HV_norm 18029.789062, LensPosition 177
04-29 02:52:11.000   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 80, H1 191090736.000000, H1_norm 17833.720703, H2_norm 0.000000 H2_norm 0.000000, V 191780448.000000, V_norm 17831.763672, HV 191435584.000000, HV_norm 17832.742188, LensPosition 175
04-29 02:52:11.129   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 81, H1 190583376.000000, H1_norm 17781.316406, H2_norm 0.000000 H2_norm 0.000000, V 190815168.000000, V_norm 17734.353516, HV 190699264.000000, HV_norm 17757.835938, LensPosition 173
04-29 02:52:11.251   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 82, H1 187572000.000000, H1_norm 17517.847656, H2_norm 0.000000 H2_norm 0.000000, V 188932656.000000, V_norm 17567.525391, HV 188252320.000000, HV_norm 17542.687500, LensPosition 171
04-29 02:52:11.392   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 83, H1 184706816.000000, H1_norm 17275.369141, H2_norm 0.000000 H2_norm 0.000000, V 187957776.000000, V_norm 17499.193359, HV 186332288.000000, HV_norm 17387.281250, LensPosition 169
04-29 02:52:11.504   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 84, H1 184441840.000000, H1_norm 17192.662109, H2_norm 0.000000 H2_norm 0.000000, V 186292496.000000, V_norm 17296.076172, HV 185367168.000000, HV_norm 17244.369141, LensPosition 167
04-29 02:52:11.634   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 85, H1 181947696.000000, H1_norm 16965.994141, H2_norm 0.000000 H2_norm 0.000000, V 185164064.000000, V_norm 17203.351562, HV 183555872.000000, HV_norm 17084.671875, LensPosition 165
04-29 02:52:11.777   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 86, H1 179993600.000000, H1_norm 16809.816406, H2_norm 0.000000 H2_norm 0.000000, V 184049856.000000, V_norm 17113.638672, HV 182021728.000000, HV_norm 16961.726562, LensPosition 163
04-29 02:52:11.884   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 87, H1 178591760.000000, H1_norm 16661.019531, H2_norm 0.000000 H2_norm 0.000000, V 183450912.000000, V_norm 17033.519531, HV 181021344.000000, HV_norm 16847.269531, LensPosition 161
04-29 02:52:12.012   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 88, H1 176337360.000000, H1_norm 16517.496094, H2_norm 0.000000 H2_norm 0.000000, V 180632208.000000, V_norm 16836.572266, HV 178484784.000000, HV_norm 16677.035156, LensPosition 159
04-29 02:52:12.156   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 89, H1 175761664.000000, H1_norm 16402.035156, H2_norm 0.000000 H2_norm 0.000000, V 180590928.000000, V_norm 16774.812500, HV 178176288.000000, HV_norm 16588.423828, LensPosition 157
