01-19 06:33:40.596   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=227 index=35, pd=-14.08, defocus(um)=-93, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.643   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=219 index=36, pd=-13.87, defocus(um)=-92, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.699   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=219 index=37, pd=-13.11, defocus(um)=-87, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.747   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=219 index=38, pd=-12.69, defocus(um)=-84, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.800   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=211 index=39, pd=-12.54, defocus(um)=-83, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.851   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=211 index=40, pd=-11.90, defocus(um)=-79, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.904   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=211 index=41, pd=-11.58, defocus(um)=-77, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.949   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=203 index=42, pd=-11.46, defocus(um)=-76, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:41.002   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=203 index=43, pd=-10.93, defocus(um)=-72, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:41.054   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=203 index=44, pd=-10.45, defocus(um)=-69, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
