01-26 10:47:35.143  1257  2051 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=4, pd=-0.89, defocus(um)=-57, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:35.177  1257  2051 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=5, pd=-0.89, defocus(um)=-55, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:35.210  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=6, pd=-0.86, defocus(um)=-54, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:35.242  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=7, pd=-0.80, defocus(um)=-50, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:35.279  1257  2050 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=8, pd=-0.78, defocus(um)=-48, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:35.309  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=9, pd=-0.79, defocus(um)=-50, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:35.342  1257  2051 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=10, pd=-0.82, defocus(um)=-52, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:35.375  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=11, pd=-0.81, defocus(um)=-50, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:35.410  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=271 index=12, pd=-1.52, defocus(um)=-97, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:35.443  1257  2051 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=351 index=13, pd=-3.25, defocus(um)=-209, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 10:47:35.476  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=399 index=14, pd=-5.15, defocus(um)=-331, conf=1023, is_conf=FALSE, not_conf_cnt=1, is_stable=FALSE
01-26 10:47:35.506  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=399 index=15, pd=-5.19, defocus(um)=-333, conf=1023, is_conf=FALSE, not_conf_cnt=2, is_stable=FALSE
01-26 10:47:35.543  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=399 index=16, pd=-5.29, defocus(um)=-340, conf=1023, is_conf=FALSE, not_conf_cnt=3, is_stable=FALSE
01-26 10:47:35.576  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=391 index=17, pd=-5.20, defocus(um)=-335, conf=1023, is_conf=FALSE, not_conf_cnt=4, is_stable=FALSE
01-26 10:47:35.607  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=391 index=18, pd=-5.25, defocus(um)=-338, conf=1023, is_conf=FALSE, not_conf_cnt=5, is_stable=FALSE
01-26 10:47:35.644  1257  2050 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=391 index=19, pd=-5.26, defocus(um)=-338, conf=1023, is_conf=FALSE, not_conf_cnt=6, is_stable=FALSE
01-26 10:47:35.677  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=383 index=20, pd=-5.16, defocus(um)=-333, conf=1023, is_conf=FALSE, not_conf_cnt=7, is_stable=FALSE
