07-03 00:19:19.734  1095  1971 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=319 index=42, pd=-0.19, defocus(um)=-7, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.765  1095  1971 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=311 index=43, pd=-0.06, defocus(um)=-1, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.806  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=311 index=44, pd=-0.06, defocus(um)=-1, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.835  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=311 index=45, pd=-0.06, defocus(um)=-1, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.868  1095  1970 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=303 index=46, pd=0.09, defocus(um)=3, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.901  1095  1975 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=303 index=47, pd=0.08, defocus(um)=1, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.933  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=303 index=48, pd=0.08, defocus(um)=1, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:19.969  1095  1971 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=295 index=49, pd=0.18, defocus(um)=5, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.003  1095  1975 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=295 index=0, pd=0.20, defocus(um)=7, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.035  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=295 index=1, pd=0.20, defocus(um)=7, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.068  1095  1975 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=287 index=2, pd=0.35, defocus(um)=12, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.104  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=287 index=3, pd=0.34, defocus(um)=12, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.136  1095  1970 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=287 index=4, pd=0.35, defocus(um)=12, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.168  1095  1970 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=279 index=5, pd=0.46, defocus(um)=16, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.202  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=279 index=6, pd=0.48, defocus(um)=17, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.235  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=279 index=7, pd=0.48, defocus(um)=17, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.269  1095  1975 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=271 index=8, pd=0.62, defocus(um)=23, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.304  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=271 index=9, pd=0.63, defocus(um)=23, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.336  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=271 index=10, pd=0.64, defocus(um)=23, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.369  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=263 index=11, pd=0.79, defocus(um)=30, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.402  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=263 index=12, pd=0.79, defocus(um)=30, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.436  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=263 index=13, pd=0.79, defocus(um)=30, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.467  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=255 index=14, pd=0.97, defocus(um)=37, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.503  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=255 index=15, pd=0.98, defocus(um)=37, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.536  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=255 index=16, pd=0.98, defocus(um)=37, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.571  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=247 index=17, pd=1.16, defocus(um)=44, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.604  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=247 index=18, pd=1.15, defocus(um)=42, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
